mean_auc,std_auc,rank_test_score,clf__class_weight,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.8551862840458554,0.0033230324034774013,38,,log_loss,11,24
0.8551862840458554,0.0033230324034774013,38,,entropy,11,24
0.8549890183731896,0.0033088507238398235,40,,gini,13,58
0.8549858477042601,0.0036026832136100712,41,balanced,gini,11,34
0.8549289258123738,0.0031311918400407685,42,balanced,log_loss,11,68
0.8549289258123738,0.0031311918400407685,42,balanced,entropy,11,68
0.8549236710370434,0.0037284565630746353,44,balanced,gini,11,58
0.8549085444048247,0.0016172628889541876,45,,gini,15,98
0.8548868354802425,0.002730197475934575,46,balanced,entropy,11,88
0.8548868354802425,0.002730197475934575,46,balanced,log_loss,11,88
0.8548760182910591,0.003062414552909785,48,balanced,entropy,11,78
0.8548760182910591,0.003062414552909785,48,balanced,log_loss,11,78
0.8548405396589978,0.0017862986997889405,50,,gini,15,78
0.8547610284097426,0.0016122363860792829,51,,entropy,15,78
0.8547610284097426,0.0016122363860792829,51,,log_loss,15,78
0.8547222104471327,0.003359811107314841,53,balanced,log_loss,13,58
0.8547222104471327,0.003359811107314841,53,balanced,entropy,13,58
0.8546935186268033,0.003461077481982101,55,,gini,11,58
0.854667401227245,0.002831600748054784,56,,gini,11,78
0.8546298251386784,0.002836387789270597,57,balanced,log_loss,13,88
0.8546298251386784,0.002836387789270597,57,balanced,entropy,13,88
0.8546054344164249,0.003030785229060043,59,,gini,11,68
0.8546032435605466,0.003534576363217647,60,balanced,gini,11,24
0.8546003728573878,0.0016974833370867013,61,,entropy,15,98
0.8546003728573878,0.0016974833370867013,61,,log_loss,15,98
0.8545801907308199,0.0033787886222851954,63,,log_loss,11,98
0.8545801907308199,0.0033787886222851954,63,,entropy,11,98
0.8545349826936292,0.0027426645634857838,65,,gini,11,24
0.8545341367251036,0.0030682689227478164,66,balanced,gini,11,88
0.8545163014074276,0.0031180048380265424,67,balanced,gini,11,78
0.8544666329909341,0.0032365070117202255,68,balanced,entropy,9,34
0.8544666329909341,0.0032365070117202255,68,balanced,log_loss,9,34
0.8544625249575606,0.0025263296955653526,70,,gini,13,24
0.8544552067412055,0.0022996758474619675,71,,entropy,13,24
0.8544552067412055,0.0022996758474619675,71,,log_loss,13,24
0.8544496686339945,0.002836577775448459,73,balanced,entropy,13,34
0.8544496686339945,0.002836577775448459,73,balanced,log_loss,13,34
0.8544305692215375,0.0032297114134928074,75,,gini,11,88
0.8544248542348163,0.002382044963424214,76,,gini,15,68
0.8543900810366513,0.0030220095924504433,77,balanced,gini,13,88
0.8543498801355154,0.0031928544631544507,78,balanced,entropy,11,14
0.8543498801355154,0.0031928544631544507,78,balanced,log_loss,11,14
0.854335422129127,0.003738736588948479,80,balanced,gini,13,58
0.8542808785861482,0.0033271391518853535,81,balanced,entropy,9,24
0.8542808785861482,0.0033271391518853535,81,balanced,log_loss,9,24
0.854255557304306,0.0031116249850080147,83,balanced,entropy,13,68
0.854255557304306,0.0031116249850080147,83,balanced,log_loss,13,68
0.8542508559454802,0.002160021759845101,85,,entropy,15,68
0.8542508559454802,0.002160021759845101,85,,log_loss,15,68
0.8542268716227828,0.003268146043770261,87,balanced,gini,11,68
0.8542194044467273,0.003005099212975862,88,,gini,13,108
0.8541888096644282,0.00286936051660956,89,balanced,gini,13,78
0.8541739568823903,0.002644167780672596,90,,entropy,15,58
0.8541739568823903,0.002644167780672596,90,,log_loss,15,58
0.854169923063569,0.0036278487628530896,92,balanced,entropy,9,58
0.854169923063569,0.0036278487628530896,92,balanced,log_loss,9,58
0.8541010835902136,0.0028397588098428893,94,,log_loss,13,108
0.8541010835902136,0.0028397588098428893,94,,entropy,13,108
0.8540968065822522,0.003031009064044177,96,balanced,entropy,13,24
0.8540968065822522,0.003031009064044177,96,balanced,log_loss,13,24
0.8540845764511122,0.0029304394318734155,98,balanced,entropy,13,78
0.8540845764511122,0.0029304394318734155,98,balanced,log_loss,13,78
0.8540814230711528,0.0035023021224148384,100,balanced,gini,13,34
0.854021274442589,0.002625829931285902,101,balanced,gini,13,98
0.8540189782178291,0.002851030782637472,102,,gini,15,58
0.8540066069271383,0.0028660656692591074,103,balanced,log_loss,11,98
0.8540066069271383,0.0028660656692591074,103,balanced,entropy,11,98
0.8539863373679861,0.0016570340592733854,105,balanced,log_loss,15,88
0.8539863373679861,0.0016570340592733854,105,balanced,entropy,15,88
0.8539791498477687,0.002694219612074939,107,balanced,entropy,13,98
0.8539791498477687,0.002694219612074939,107,balanced,log_loss,13,98
0.8539419228077094,0.002194984951708707,109,,gini,15,108
0.8538970500601982,0.004071086370562017,110,balanced,gini,9,34
0.8538966738652318,0.003450338545053975,111,balanced,gini,13,68
0.8538927676684717,0.001956603996292931,112,balanced,gini,15,88
0.8538653511939834,0.003938475591948303,113,balanced,entropy,9,14
0.8538653511939834,0.003938475591948303,113,balanced,log_loss,9,14
0.8538145926751424,0.003212501435912531,115,,gini,11,98
0.8538130148792131,0.003579587741328812,116,,entropy,11,14
0.8538130148792131,0.003579587741328812,116,,log_loss,11,14
0.8537609114278781,0.0031596573560262377,118,,gini,11,14
0.8537477239079763,0.0028384096962688556,119,balanced,gini,13,108
0.8536970643212249,0.0033945852199065638,120,,entropy,11,108
0.8536970643212249,0.0033945852199065638,120,,log_loss,11,108
0.8536866923629958,0.0029164371029545763,122,balanced,gini,11,98
0.8536082687145328,0.004064744732693139,123,balanced,gini,9,24
0.853565419006331,0.003631790113364655,124,balanced,log_loss,9,78
0.853565419006331,0.003631790113364655,124,balanced,entropy,9,78
0.8535593926564948,0.0034305442616487576,126,balanced,log_loss,9,68
0.8535593926564948,0.0034305442616487576,126,balanced,entropy,9,68
0.853522438223069,0.0020108352197029055,128,,entropy,15,108
0.853522438223069,0.0020108352197029055,128,,log_loss,15,108
0.8535169988842324,0.00135912242834469,130,balanced,log_loss,15,98
0.8535169988842324,0.00135912242834469,130,balanced,entropy,15,98
0.8535162060977258,0.0034745630190713217,132,balanced,gini,11,14
0.8534922115918693,0.002759851341039536,133,balanced,entropy,11,108
0.8534922115918693,0.002759851341039536,133,balanced,log_loss,11,108
0.8534788994903607,0.0030481615418240663,135,balanced,entropy,13,108
0.8534788994903607,0.0030481615418240663,135,balanced,log_loss,13,108
0.853463782330907,0.0021788783742972243,137,balanced,gini,15,78
0.8534298885407632,0.0032269990621889505,138,,gini,11,108
0.8534269775763731,0.004115660220391379,139,balanced,gini,9,58
0.8534186622472474,0.003895491265311999,140,balanced,gini,13,24
0.853371197925723,0.003423541120286134,141,balanced,log_loss,9,88
0.853371197925723,0.003423541120286134,141,balanced,entropy,9,88
