mean_auc,std_auc,rank_test_score,mean_fit_time,std_fit_time,clf__class_weight,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.8552949732814822,0.0024215228346024715,31,1.5136664867401124,0.07287031002005745,,log_loss,13,98
0.855275993421212,0.0029650849698269937,33,1.4782373428344726,0.016238271350824833,,gini,13,68
0.855250602262181,0.0018714341213597978,34,1.645418930053711,0.044512839625602374,,gini,15,88
0.8552309625816139,0.0023508371205910174,35,1.462733554840088,0.02568281161250741,,gini,13,98
0.8552048780270631,0.0016049020350478317,36,1.5966229438781738,0.012691141754491448,,log_loss,15,88
0.8552048780270631,0.0016049020350478317,36,1.647934865951538,0.04322001009152718,,entropy,15,88
0.8551862840458554,0.0033230324034774013,38,1.3369575977325439,0.015927295656394343,,log_loss,11,24
0.8551862840458554,0.0033230324034774013,38,1.3629958629608154,0.03269957487049261,,entropy,11,24
0.8549890183731896,0.0033088507238398235,40,1.522723340988159,0.03789917936546013,,gini,13,58
0.8549858477042601,0.0036026832136100712,41,1.4245384693145753,0.047194350546466965,balanced,gini,11,34
0.8549289258123738,0.0031311918400407685,42,1.316329002380371,0.015967782607223455,balanced,log_loss,11,68
0.8549289258123738,0.0031311918400407685,42,1.3321438312530518,0.026166497281906936,balanced,entropy,11,68
0.8549236710370434,0.0037284565630746353,44,1.3548283576965332,0.03120751755883693,balanced,gini,11,58
0.8549085444048247,0.0016172628889541876,45,1.5622477531433105,0.014669175564342147,,gini,15,98
0.8548868354802425,0.002730197475934575,46,1.3408835411071778,0.06967785274129967,balanced,entropy,11,88
0.8548868354802425,0.002730197475934575,46,1.314811611175537,0.032136548830368754,balanced,log_loss,11,88
0.8548760182910591,0.003062414552909785,48,1.3055081367492676,0.008314102781396878,balanced,entropy,11,78
0.8548760182910591,0.003062414552909785,48,1.3345398426055908,0.04733732369473876,balanced,log_loss,11,78
0.8548405396589978,0.0017862986997889405,50,1.607549238204956,0.002986752029011275,,gini,15,78
0.8547610284097426,0.0016122363860792829,51,1.6409596920013427,0.016550588949385988,,entropy,15,78
0.8547610284097426,0.0016122363860792829,51,1.630040216445923,0.009987034025769703,,log_loss,15,78
0.8547222104471327,0.003359811107314841,53,1.5955291748046876,0.03239262892898003,balanced,log_loss,13,58
0.8547222104471327,0.003359811107314841,53,1.578953218460083,0.07146622565152626,balanced,entropy,13,58
0.8546935186268033,0.003461077481982101,55,1.3247663021087646,0.020306018978623986,,gini,11,58
0.854667401227245,0.002831600748054784,56,1.2824345588684083,0.02038698423762691,,gini,11,78
0.8546298251386784,0.002836387789270597,57,1.536043357849121,0.03047142217034175,balanced,log_loss,13,88
0.8546298251386784,0.002836387789270597,57,1.484237003326416,0.01811773137356491,balanced,entropy,13,88
0.8546054344164249,0.003030785229060043,59,1.2813867568969726,0.008376263863251932,,gini,11,68
0.8546032435605466,0.003534576363217647,60,1.3902125835418702,0.00848966870707783,balanced,gini,11,24
0.8546003728573878,0.0016974833370867013,61,1.5904330730438232,0.02480100839481693,,entropy,15,98
0.8546003728573878,0.0016974833370867013,61,1.6330877780914306,0.03556558414622806,,log_loss,15,98
0.8545801907308199,0.0033787886222851954,63,1.2987799644470215,0.022743692236014367,,log_loss,11,98
0.8545801907308199,0.0033787886222851954,63,1.2613122940063477,0.011432840679105351,,entropy,11,98
0.8545349826936292,0.0027426645634857838,65,1.337813711166382,0.01025757882788316,,gini,11,24
0.8545341367251036,0.0030682689227478164,66,1.3447147369384767,0.02829184838312353,balanced,gini,11,88
0.8545163014074276,0.0031180048380265424,67,1.3101203918457032,0.007768498675568182,balanced,gini,11,78
0.8544666329909341,0.0032365070117202255,68,1.1356929779052733,0.01795191665184114,balanced,entropy,9,34
0.8544666329909341,0.0032365070117202255,68,1.135144329071045,0.008739011404365069,balanced,log_loss,9,34
0.8544625249575606,0.0025263296955653526,70,1.6291382789611817,0.02642026968698161,,gini,13,24
0.8544552067412055,0.0022996758474619675,71,1.6103450775146484,0.04235933108087381,,entropy,13,24
0.8544552067412055,0.0022996758474619675,71,1.6372544288635253,0.05266811260914233,,log_loss,13,24
0.8544496686339945,0.002836577775448459,73,1.6026237964630128,0.012391773858793363,balanced,entropy,13,34
0.8544496686339945,0.002836577775448459,73,1.6064181804656983,0.03598212027795998,balanced,log_loss,13,34
0.8544305692215375,0.0032297114134928074,75,1.2908360004425048,0.024000419067171354,,gini,11,88
0.8544248542348163,0.002382044963424214,76,1.7345057487487794,0.0659713113279044,,gini,15,68
0.8543900810366513,0.0030220095924504433,77,1.5569780349731446,0.04506232430511152,balanced,gini,13,88
0.8543498801355154,0.0031928544631544507,78,1.4516246795654297,0.0363595737698935,balanced,entropy,11,14
0.8543498801355154,0.0031928544631544507,78,1.3892286777496339,0.009344069208697417,balanced,log_loss,11,14
0.854335422129127,0.003738736588948479,80,1.5988141536712646,0.051225034970800686,balanced,gini,13,58
0.8542808785861482,0.0033271391518853535,81,1.214439058303833,0.028439406694489733,balanced,entropy,9,24
0.8542808785861482,0.0033271391518853535,81,1.160274124145508,0.026701932436244528,balanced,log_loss,9,24
0.854255557304306,0.0031116249850080147,83,1.5515371799468993,0.03991764208376641,balanced,entropy,13,68
0.854255557304306,0.0031116249850080147,83,1.521634817123413,0.010912761920357405,balanced,log_loss,13,68
0.8542508559454802,0.002160021759845101,85,1.6635636806488037,0.011611556088455587,,entropy,15,68
0.8542508559454802,0.002160021759845101,85,1.7049615383148193,0.041285604177970316,,log_loss,15,68
0.8542268716227828,0.003268146043770261,87,1.3263046264648437,0.008788816613689658,balanced,gini,11,68
0.8542194044467273,0.003005099212975862,88,1.4133567810058594,0.021447143418317216,,gini,13,108
0.8541888096644282,0.00286936051660956,89,1.5033005237579347,0.019321862397880103,balanced,gini,13,78
0.8541739568823903,0.002644167780672596,90,1.7458060264587403,0.02967882228478741,,entropy,15,58
0.8541739568823903,0.002644167780672596,90,1.7107600688934326,0.07116262187954299,,log_loss,15,58
0.854169923063569,0.0036278487628530896,92,1.1166995525360108,0.008302406350985675,balanced,entropy,9,58
0.854169923063569,0.0036278487628530896,92,1.138681983947754,0.03370791314018464,balanced,log_loss,9,58
0.8541010835902136,0.0028397588098428893,94,1.4078729629516602,0.005504491173052376,,log_loss,13,108
0.8541010835902136,0.0028397588098428893,94,1.4418350219726563,0.021809730006629495,,entropy,13,108
0.8540968065822522,0.003031009064044177,96,1.7171356678009033,0.08212999066507387,balanced,entropy,13,24
0.8540968065822522,0.003031009064044177,96,1.61874418258667,0.0120146616033727,balanced,log_loss,13,24
0.8540845764511122,0.0029304394318734155,98,1.5083506107330322,0.029157578940810034,balanced,entropy,13,78
0.8540845764511122,0.0029304394318734155,98,1.506097936630249,0.0138368645911619,balanced,log_loss,13,78
0.8540814230711528,0.0035023021224148384,100,1.6014393806457519,0.013368328744772031,balanced,gini,13,34
0.854021274442589,0.002625829931285902,101,1.4721103191375733,0.017948278225876965,balanced,gini,13,98
0.8540189782178291,0.002851030782637472,102,1.685558843612671,0.02309904262748281,,gini,15,58
0.8540066069271383,0.0028660656692591074,103,1.2771686553955077,0.010626438650913885,balanced,log_loss,11,98
0.8540066069271383,0.0028660656692591074,103,1.308003807067871,0.02144084266291015,balanced,entropy,11,98
0.8539863373679861,0.0016570340592733854,105,1.662182378768921,0.04335232661023346,balanced,log_loss,15,88
0.8539863373679861,0.0016570340592733854,105,1.7314033031463623,0.028979850825992193,balanced,entropy,15,88
0.8539791498477687,0.002694219612074939,107,1.5074013710021972,0.04105912444887817,balanced,entropy,13,98
0.8539791498477687,0.002694219612074939,107,1.462440824508667,0.015218989718019141,balanced,log_loss,13,98
0.8539419228077094,0.002194984951708707,109,1.5365061283111572,0.010777625672175349,,gini,15,108
0.8538970500601982,0.004071086370562017,110,1.1450384140014649,0.0071587085585713,balanced,gini,9,34
0.8538966738652318,0.003450338545053975,111,1.539492416381836,0.034041626567360844,balanced,gini,13,68
0.8538927676684717,0.001956603996292931,112,1.7010696411132813,0.0307711233900271,balanced,gini,15,88
0.8538653511939834,0.003938475591948303,113,1.1499876976013184,0.0037260121538783826,balanced,entropy,9,14
0.8538653511939834,0.003938475591948303,113,1.1991057872772217,0.011553799212934875,balanced,log_loss,9,14
0.8538145926751424,0.003212501435912531,115,1.2501601219177245,0.009008665960753452,,gini,11,98
0.8538130148792131,0.003579587741328812,116,1.3699968814849854,0.021451664103969096,,entropy,11,14
0.8538130148792131,0.003579587741328812,116,1.5010331630706788,0.08508232278398753,,log_loss,11,14
0.8537609114278781,0.0031596573560262377,118,1.3599891662597656,0.01826629586304332,,gini,11,14
0.8537477239079763,0.0028384096962688556,119,1.45463285446167,0.013411224773135545,balanced,gini,13,108
0.8536970643212249,0.0033945852199065638,120,1.2622567176818849,0.02268311736289994,,entropy,11,108
0.8536970643212249,0.0033945852199065638,120,1.255766248703003,0.019635054697762437,,log_loss,11,108
0.8536866923629958,0.0029164371029545763,122,1.296809482574463,0.007072029681005335,balanced,gini,11,98
0.8536082687145328,0.004064744732693139,123,1.1836617469787598,0.03701227545217567,balanced,gini,9,24
0.853565419006331,0.003631790113364655,124,1.1207160472869873,0.010416425075102735,balanced,log_loss,9,78
0.853565419006331,0.003631790113364655,124,1.1491806507110596,0.04503342452101447,balanced,entropy,9,78
0.8535593926564948,0.0034305442616487576,126,1.1573066234588623,0.01700149277793217,balanced,log_loss,9,68
0.8535593926564948,0.0034305442616487576,126,1.115246868133545,0.001752133207227284,balanced,entropy,9,68
0.853522438223069,0.0020108352197029055,128,1.5720938205718995,0.0355212606871282,,entropy,15,108
0.853522438223069,0.0020108352197029055,128,1.5467493534088135,0.025228404401964517,,log_loss,15,108
0.8535169988842324,0.00135912242834469,130,1.6104134559631347,0.014425565941682598,balanced,log_loss,15,98
0.8535169988842324,0.00135912242834469,130,1.6084911346435546,0.017076012772984425,balanced,entropy,15,98
0.8535162060977258,0.0034745630190713217,132,1.4278624534606934,0.025611006634790694,balanced,gini,11,14
0.8534922115918693,0.002759851341039536,133,1.2847280502319336,0.006698775267301216,balanced,entropy,11,108
0.8534922115918693,0.002759851341039536,133,1.2765677928924561,0.010136107799708163,balanced,log_loss,11,108
0.8534788994903607,0.0030481615418240663,135,1.4996667861938477,0.07545078362865303,balanced,entropy,13,108
0.8534788994903607,0.0030481615418240663,135,1.446715784072876,0.018372846055744855,balanced,log_loss,13,108
0.853463782330907,0.0021788783742972243,137,1.6628917694091796,0.02370825588763689,balanced,gini,15,78
0.8534298885407632,0.0032269990621889505,138,1.2471412658691405,0.0031903799322704966,,gini,11,108
